root - INFO - 2023-06-06 19:27:50.406141: {'time_stamp': datetime.datetime(2023, 6, 6, 19, 27, 52, 997683), 'electric_load': '0.04', 'battery_voltage': '13.35', 'water_temperature': '11.38', 'inside_temperature': '22.80', 'humidity_temperature': '42.90', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 19:37:50.433112: {'time_stamp': datetime.datetime(2023, 6, 6, 19, 37, 52, 962666), 'electric_load': '0.04', 'battery_voltage': '13.35', 'water_temperature': '11.31', 'inside_temperature': '22.80', 'humidity_temperature': '42.90', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 19:47:50.459006: {'time_stamp': datetime.datetime(2023, 6, 6, 19, 47, 53, 5951), 'electric_load': '0.11', 'battery_voltage': '13.21', 'water_temperature': '11.31', 'inside_temperature': '22.60', 'humidity_temperature': '42.90', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 19:57:50.480715: {'time_stamp': datetime.datetime(2023, 6, 6, 19, 57, 53, 44389), 'electric_load': '0.04', 'battery_voltage': '13.23', 'water_temperature': '11.38', 'inside_temperature': '22.80', 'humidity_temperature': '43.00', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 20:07:50.404884: {'time_stamp': datetime.datetime(2023, 6, 6, 20, 7, 53, 5488), 'electric_load': '0.11', 'battery_voltage': '13.15', 'water_temperature': '11.38', 'inside_temperature': '22.40', 'humidity_temperature': '43.00', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 20:17:50.430393: {'time_stamp': datetime.datetime(2023, 6, 6, 20, 17, 52, 968671), 'electric_load': '0.04', 'battery_voltage': '13.21', 'water_temperature': '11.31', 'inside_temperature': '22.50', 'humidity_temperature': '43.20', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 20:27:50.458177: {'time_stamp': datetime.datetime(2023, 6, 6, 20, 27, 53, 14580), 'electric_load': '0.19', 'battery_voltage': '13.15', 'water_temperature': '11.31', 'inside_temperature': '22.20', 'humidity_temperature': '43.20', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 20:37:50.384844: {'time_stamp': datetime.datetime(2023, 6, 6, 20, 37, 52, 978517), 'electric_load': '0.19', 'battery_voltage': '13.12', 'water_temperature': '11.31', 'inside_temperature': '22.20', 'humidity_temperature': '43.40', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
root - INFO - 2023-06-06 20:47:50.411446: {'time_stamp': datetime.datetime(2023, 6, 6, 20, 47, 52, 942860), 'electric_load': '0.26', 'battery_voltage': '13.09', 'water_temperature': '11.31', 'inside_temperature': '21.90', 'humidity_temperature': '43.50', 'bilge_water_level': '0', 'bilge_pump_run_time': 0}
